VAR1,Date,Total_Volume,SQRT_AveragePrice,LOG_Large_Bags,LOG_Small_Bags,LOG_Total_Bags,LOG_XLarge_Bags,LOG__4046,LOG__4225,LOG__4770
32,2015-05-17,451250.7,0.4882972084,0.0020405627,0.0025154172,0.0023403128,0,0.0168467157,0.0009091283,0.0003292998
33,2015-05-10,480071.18,0.4846394999,0.0021937116,0.0025450957,0.0024060196,0,0.0180155978,0.0009209291,0.0004276941
34,2015-05-03,634213.1,0.4464171325,0.0058684336,0.0024267746,0.0034103332,0,0.0233968757,0.0013946041,0.000416075
35,2015-04-26,448596.76,0.4919277209,0.0017813077,0.0023369204,0.0021404605,0,0.0169018771,0.0008968042,0.0004090288
36,2015-04-19,430966.34,0.4919277209,0.0023892834,0.0022136583,0.0022347539,0,0.0160815624,0.0008809184,0.0003428671
37,2015-04-12,451101.89,0.4424133106,0.0043707155,0.0019282009,0.0026230971,0,0.0164652161,0.001094629,0.0000860537
38,2015-04-05,383139.49,0.4620856324,0.0028442891,0.0021354369,0.0023220224,0.0002441637,0.0139056301,0.0009401467,0.0001470612
39,2015-03-29,365722.14,0.4882972084,0.0025262844,0.0021877303,0.0022572938,0,0.013322487,0.0008131292,0.0001024947
40,2015-03-22,479590.62,0.4464171325,0.003798716,0.0030209363,0.0032093528,0.000024361,0.0171575249,0.0011434079,0.0001197247
41,2015-03-15,399566.22,0.4919277209,0.0020307646,0.0026049551,0.0024012291,0.0000681333,0.0146727689,0.0008061112,0.0001220061
42,2015-03-08,420826.32,0.4846394999,0.0016412353,0.0025256368,0.0022295429,0,0.0157721372,0.0007709909,0.000093055
43,2015-03-01,512532.44,0.4424133106,0.0030157468,0.0024014395,0.0025496101,4.8577566E-6,0.0192279281,0.0010343016,0.0001365657
44,2015-02-22,431308.56,0.4846394999,0.0017481007,0.0024940685,0.0022392573,0,0.0161078095,0.0008947753,0.0000932514
45,2015-02-15,427391.28,0.4697239289,0.0031699927,0.0019949073,0.0023142358,0,0.0158971035,0.0008506358,0.0002505852
46,2015-02-08,433883.91,0.458218739,0.0036470252,0.0013472405,0.0020079919,0,0.016451285,0.0008380474,0.0002060901
47,2015-02-01,636771.37,0.4301783128,0.0071678263,0.0007881881,0.0026648059,0,0.0240321463,0.0015416784,0.0001158178
48,2015-01-25,449332.85,0.4846394999,0.0040894366,0.0009839608,0.0018880583,0,0.0171496216,0.0009139811,0.0002333379
49,2015-01-18,431490.99,0.4882972084,0.0040584394,0.0012530979,0.0020646715,0,0.016234165,0.0009131822,0.0002009232
50,2015-01-11,397542.72,0.4882972084,0.0044886059,0.0015908347,0.0024250628,0,0.0144231323,0.0009256921,0.0004456918
51,2015-01-04,435021.49,0.4464171325,0.0052507703,0.0012474596,0.0024136164,0,0.0158908555,0.0011630017,0.0000322602
0,2015-12-27,596819.4,0.5096925317,0.0004138294,0.0105935426,0.0074521663,0,0.0017769629,0.0190692433,0.0067918078
1,2015-12-20,642682.4,0.4882972084,0.0004346176,0.0105349941,0.0074176833,0,0.0019652732,0.0210078101,0.007477412
2,2015-12-13,619509.33,0.5026619532,0.000331445,0.0110759026,0.0077623532,0,0.0019503045,0.0193446743,0.00949407
3,2015-12-06,649141.25,0.4620856324,0.0002713697,0.0087117655,0.0061065504,0,0.002245549,0.0219160573,0.0100654525
4,2015-11-29,545800.05,0.5061894487,0.0003238326,0.0077116269,0.0054292831,0,0.0018023162,0.0183525638,0.0078809047
5,2015-11-22,572019.8,0.4919277209,0.0004655456,0.0088520965,0.0062607449,0,0.0017952786,0.0186873653,0.0091253481
6,2015-11-15,718330.48,0.4620856324,0.0007800095,0.0093177944,0.0066756222,0,0.0020691972,0.0242972384,0.0148087928
7,2015-11-08,830967.23,0.4659204337,0.0010594976,0.0103150819,0.0074485343,0,0.0025723244,0.0277737135,0.0198435363
8,2015-11-01,742220.67,0.4919277209,0.0009104461,0.0113452687,0.0081187425,0,0.0022776076,0.0228825412,0.0227577825
9,2015-10-25,656892.03,0.5166274427,0.0010732194,0.0111436684,0.0080267304,0,0.0023612251,0.019251704,0.0190927947
10,2015-10-18,1005603.78,0.4424133106,0.0009620353,0.0108801211,0.0078114892,0,0.0025961061,0.0357652558,0.0191257701
11,2015-10-11,653560.14,0.5335705285,0.0008189216,0.0121540104,0.0086525556,0,0.0015248483,0.0189688092,0.0227095444
12,2015-10-04,657444.04,0.5467470936,0.0008283559,0.012436339,0.0088510673,0,0.0015527394,0.0197163447,0.0164586427
13,2015-09-27,696281.81,0.5166274427,0.000891406,0.0109075976,0.0078098236,0,0.0015073767,0.0217953536,0.0229124122
14,2015-09-20,709268.62,0.5096925317,0.0008983118,0.0125392825,0.0089429314,0,0.001740506,0.0217581656,0.0176471021
15,2015-09-13,924993.61,0.4809539749,0.0010159974,0.0108257999,0.0077896667,0,0.002446012,0.0324669742,0.0164635641
16,2015-09-06,823623.36,0.513171702,0.0005713815,0.0123036546,0.0086840993,0.0000100418,0.0028058037,0.0252073953,0.0264226091
17,2015-08-30,734721.29,0.5335705285,0.00055219,0.0135038102,0.0095195557,0.0003199634,0.0021282326,0.0221368762,0.0166504621
18,2015-08-23,783935.36,0.5061894487,0.0005349833,0.0129934812,0.0091652996,0.0004877967,0.0026013892,0.0240888787,0.0183722338
19,2015-08-16,882754.72,0.4991095273,0.0004889122,0.0113777879,0.0080188786,0.0000396952,0.0037957018,0.0287554112,0.0167849622
20,2015-08-09,821523.45,0.5061894487,0.0005765123,0.0119986868,0.008473867,0,0.0024751133,0.0268634931,0.0167197979
21,2015-08-02,800603.23,0.5096925317,0.0005351232,0.0121539122,0.0085693702,0,0.0023696199,0.0258073475,0.0174207683
22,2015-07-26,772926.12,0.520060221,0.0006782058,0.0129733956,0.0091797986,9.8061188E-6,0.0023164892,0.0239652764,0.0175215779
23,2015-07-19,800194.34,0.513171702,0.0006750571,0.0145992001,0.010307082,0.0000244154,0.0023256366,0.0239508641,0.0195681539
24,2015-07-12,850931.58,0.4846394999,0.0007701135,0.0140393613,0.0099582946,0.0004436261,0.0025832321,0.0263960756,0.0197064591
25,2015-07-05,896298.77,0.5061894487,0.0010294525,0.0148392337,0.0105827077,0.0002180864,0.0029198359,0.0273520931,0.0217702717
26,2015-06-28,862261.64,0.5026619532,0.0007030999,0.0153749951,0.0108613181,0.0002972766,0.0028561463,0.0257772653,0.0198723369
27,2015-06-21,862840.73,0.5061894487,0.0006097653,0.0163696662,0.011527846,0.0004168293,0.0025644081,0.0254597345,0.0201967786
28,2015-06-14,955046.82,0.4809539749,0.0006412069,0.0181378221,0.0127810024,0.000990313,0.0028102504,0.0285804793,0.0188073088
29,2015-06-07,794310.29,0.540198988,0.000633887,0.0163888862,0.0115497927,0.0004722158,0.0027480017,0.0223635044,0.0170237172
30,2015-05-31,949177.06,0.5166274427,0.0010014433,0.01569934,0.0111789095,0.0004857314,0.0029742037,0.0297341127,0.0178387207
31,2015-05-24,908661.83,0.513171702,0.0009697773,0.016952981,0.0120318807,0.0002016858,0.0027929302,0.0270240329,0.0193712237
32,2015-05-17,790853.86,0.5434829027,0.0009004693,0.0164621797,0.011666038,0.0000287837,0.0027887622,0.0219915724,0.0174560411
33,2015-05-10,855205.82,0.540198988,0.0015631907,0.0159776652,0.0115225561,0,0.0034758992,0.0244704885,0.0172821968
34,2015-05-03,896972.05,0.5096925317,0.0013572388,0.014969982,0.0107653988,0.0000805487,0.0032062374,0.0258807957,0.0299949747
35,2015-04-26,747841.09,0.5499919119,0.0010807561,0.0157197453,0.0112078128,0.0001862817,0.0025475274,0.0208615222,0.0155639084
36,2015-04-19,762862.62,0.5467470936,0.001003398,0.0162948061,0.0115791036,0,0.0029628908,0.0206744613,0.0164074767
37,2015-04-12,837629.62,0.5026619532,0.0009290281,0.0145431469,0.0103417664,0,0.0031079824,0.0252360561,0.0164636761
38,2015-04-05,688065.45,0.5499919119,0.0011109324,0.0136615585,0.0098280956,0.0015822532,0.0023530189,0.0194130884,0.0163077253
39,2015-03-29,663677.32,0.5368949876,0.0008397345,0.0118066781,0.0084178581,0,0.0025512245,0.0192583896,0.0170386699
40,2015-03-22,808897.21,0.4846394999,0.000818967,0.0127466004,0.0090634532,0,0.0028608379,0.0253218452,0.0165064108
41,2015-03-15,693698.13,0.5335705285,0.0008273863,0.0143262386,0.0101615542,0,0.0023451657,0.0191522984,0.0181331758
42,2015-03-08,657745.9,0.540198988,0.0007249863,0.0139758672,0.0098885365,0,0.0024278336,0.0178015578,0.0164625752
43,2015-03-01,770115.24,0.5061894487,0.0006531888,0.0124901736,0.0088371023,0,0.0025925232,0.0240780191,0.0156795382
44,2015-02-22,749845.79,0.4882972084,0.0006617003,0.0138728984,0.0097985938,0,0.0022179888,0.0215520127,0.0242904906
45,2015-02-15,637319.34,0.5368949876,0.0008957734,0.0129800383,0.0092478172,0,0.0021851144,0.0175138933,0.0178646629
46,2015-02-08,844931.21,0.4809539749,0.0009021079,0.0130468912,0.0092960323,0,0.0031477284,0.026744286,0.0145948078
47,2015-02-01,1007418.76,0.4697239289,0.0008166644,0.0118770257,0.008459867,0,0.0040880147,0.0320169578,0.0323227149
48,2015-01-25,692934.46,0.520060221,0.0013260485,0.0155503569,0.0111567097,0,0.0021826751,0.0186998768,0.0153885051
49,2015-01-18,657741.34,0.5302252258,0.0007808709,0.0125762538,0.0089341772,0,0.0021936879,0.0190335642,0.015808819
50,2015-01-11,670231.94,0.5096925317,0.000712385,0.0112429144,0.0079897509,0,0.0022600852,0.0203497179,0.0165626394
51,2015-01-04,788025.06,0.477239989,0.000697526,0.0101944271,0.0072587666,0,0.0023709218,0.0266514717,0.0155841914
0,2015-12-27,62909.69,0.4342949455,9.9491188E-7,0.0017557172,0.0012154349,0.0000638377,0.0013393579,0.0001451706,0.0023120869
1,2015-12-20,57504.05,0.458218739,1.9985654E-6,0.0016348994,0.001131644,0.000043719,0.001126197,0.0001243703,0.0028993925
2,2015-12-13,58461.05,0.4424133106,7.7634609E-7,0.0016306119,0.001128157,0.0000379914,0.0011929686,0.0001458441,0.0025330524
3,2015-12-06,95295.34,0.3099764656,0,0.0031877303,0.0022218267,0.0006470158,0.0015636547,0.00061174,0.0016034096
4,2015-11-29,49069.13,0.4697239289,0,0.0011842906,0.000828536,0.0003576708,0.0010630291,0.0001362678,0.0023657971
5,2015-11-22,52875.58,0.4809539749,7.5536377E-7,0.0013089085,0.0009053779,0.000023491,0.0011165629,0.0001590435,0.0026130994
6,2015-11-15,68648.22,0.4503853629,1.5124755E-6,0.0018810111,0.0013223706,0.0007727934,0.0010733392,0.0005902206,0.0025502601
7,2015-11-08,55847.79,0.4882972084,0.0000209454,0.0009542121,0.0006708027,0.0001853937,0.0014020596,0.0002272214,0.0024653976
8,2015-11-01,53585.51,0.4991095273,0,0.0009209207,0.0006379343,0.0000560259,0.0013372827,0.0002129425,0.0025212344
9,2015-10-25,59874.45,0.4882972084,0,0.0010201296,0.0007075071,0.0000915321,0.0012971744,0.0004927724,0.0025695318
10,2015-10-18,54191.14,0.5061894487,0,0.0006660669,0.0004603905,5.9090591E-6,0.0013012428,0.0004429466,0.0025831236
11,2015-10-11,80904.19,0.4218245406,0.0000324277,0.001011359,0.0007105071,0.0000737882,0.00114754,0.0016310553,0.002981869
12,2015-10-04,59496.33,0.4919277209,0.0000882356,0.0004080093,0.0003080297,2.936408E-6,0.0015444901,0.0005285143,0.0029611761
13,2015-09-27,64187.8,0.4424133106,0.0000279761,0.0005674053,0.000400635,0.0000117275,0.0020647041,0.0002810489,0.0014375633
14,2015-09-20,73952.9,0.458218739,0.0000478054,0.0007917184,0.0005621568,0.0000351094,0.0015301112,0.0010542329,0.0026041965
15,2015-09-13,64208.84,0.477239989,0,0.0005588935,0.0003861639,0,0.0020090429,0.0002146217,0.0025859399
16,2015-09-06,64464.61,0.5061894487,0,0.0005179565,0.0003579596,2.918282E-6,0.0019386487,0.0002638645,0.0031334877
17,2015-08-30,60099.83,0.5166274427,0,0.0004063969,0.0002807907,0,0.0017978667,0.0002837779,0.0031064088
18,2015-08-23,70773.76,0.4659204337,0,0.0005542221,0.0003829359,0,0.0019353386,0.0007257217,0.0017393959
19,2015-08-16,64001.61,0.4919277209,0,0.0004549356,0.00031466,0.0000116006,0.0020288085,0.0002568338,0.0025325706
20,2015-08-09,61286.98,0.4846394999,2.330785E-6,0.0005653354,0.0003913031,0,0.0019651929,0.0002458837,0.0015426085
21,2015-08-02,67763.91,0.4734968725,8.5485164E-6,0.0004472429,0.0003115371,0,0.0022465133,0.0002511041,0.0021322196
22,2015-07-26,67826.07,0.4734968725,0.0000268937,0.0004749142,0.0003360714,0,0.0022389286,0.0002372036,0.002149544
23,2015-07-19,63958.04,0.4809539749,0.0001427606,0.0004746461,0.0003700817,0,0.0020170628,0.0002588894,0.0021830868
24,2015-07-12,74677.72,0.4659204337,0.0002162485,0.0006225404,0.0004939601,0,0.0022762337,0.0002834228,0.0029309367
25,2015-07-05,85044.45,0.5026619532,0.0000140843,0.0004897764,0.0003425606,0,0.0027201265,0.0003918092,0.0033069868
26,2015-06-28,75280.41,0.4620856324,0,0.000419756,0.0002901056,2.9545339E-6,0.0025956579,0.0003210562,0.0015596882
27,2015-06-21,81397.07,0.4697239289,0,0.0005244629,0.0003760311,0.0004796983,0.0023184105,0.0007542005,0.002304819
28,2015-06-14,87607.71,0.4424133106,0,0.0005825931,0.0004025404,0,0.0025816209,0.0008730887,0.001230762
29,2015-06-07,80751.29,0.4919277209,1.5317093E-6,0.000418588,0.0002896665,0,0.0026892458,0.0003534963,0.0026103145
30,2015-05-31,76689.38,0.4342949455,1.0211398E-6,0.0005870934,0.0004059515,0,0.0025194466,0.0003624723,0.0015806846
31,2015-05-24,83209.77,0.458218739,0,0.0005579124,0.0003874337,0.0000684233,0.0024077074,0.0007246477,0.0023680459
32,2015-05-17,77987.53,0.4301783128,0,0.0004740016,0.0003279267,0.0000148451,0.0026924982,0.0003611357,0.0011459914
33,2015-05-10,95788.53,0.4697239289,0,0.0007060153,0.000490019,0.0000769782,0.0027444873,0.0007762543,0.0030941082
34,2015-05-03,85466.99,0.4464171325,0,0.0004743086,0.000327968,8.8454497E-6,0.0029362955,0.0003879129,0.0016831782
35,2015-04-26,88111.17,0.4301783128,0,0.0005358909,0.0003705193,8.7910721E-6,0.0030530976,0.0003900195,0.0013349544
36,2015-04-19,89694.96,0.4424133106,0,0.0005940742,0.0004108052,0.0000116368,0.0024962039,0.0010561248,0.0012794866
37,2015-04-12,66246.3,0.5166274427,0,0.0004293406,0.0002966442,0,0.0019533276,0.0004154546,0.0029499701
38,2015-04-05,76704.46,0.4809539749,0,0.0004863077,0.000336171,5.745926E-6,0.0025179659,0.0004425126,0.0014873954
39,2015-03-29,74543.98,0.4383729217,0,0.000357776,0.0002471953,0,0.0026141472,0.0003477324,0.0012174225
40,2015-03-22,61419.11,0.5096925317,0,0.000247401,0.0001709319,0,0.0019427158,0.0003218625,0.0028588252
41,2015-03-15,65918.28,0.4464171325,0,0.0003321105,0.0002294616,0,0.0022605962,0.000342789,0.0011702835
42,2015-03-08,65350.24,0.4991095273,0,0.0003630704,0.0002508536,0,0.0020152304,0.0003519663,0.0029032729
43,2015-03-01,75046.37,0.4697239289,0.0001327447,0.0004839285,0.0003735394,0,0.0017825593,0.0011589713,0.0013703206
44,2015-02-22,76836.1,0.4424133106,0.0000405773,0.000540416,0.0003853703,0,0.0022342617,0.0007995963,0.0008330088
45,2015-02-15,61221.98,0.4991095273,0.0002960414,0.0002724793,0.0002756458,0,0.0018251261,0.0003829306,0.0025465664
46,2015-02-08,69970.75,0.4734968725,0.000292617,0.0001026068,0.0001572761,0,0.0023815382,0.0004711626,0.0011958576
47,2015-02-01,113578.24,0.4089740658,0.0003107665,0.0003635805,0.0003429337,0,0.0029633082,0.0017830361,0.0011400683
48,2015-01-25,66069.21,0.458218739,0.0004406211,0.0001501263,0.0002338037,0,0.002280327,0.0003690447,0.0008091009
49,2015-01-18,62870.49,0.477239989,0.0004889018,0.0000836136,0.0002021121,0,0.0022115783,0.0003097807,0.0008860334
50,2015-01-11,57355.52,0.513171702,0.0002847317,0.0002461566,0.0002541212,0,0.0016743354,0.0005370923,0.0013036735
51,2015-01-04,80034.32,0.4503853629,0.0002956883,0.0004529782,0.0004002485,0,0.0019574073,0.0012187749,0.0010802786
0,2015-12-27,450816.39,0.4955316351,0.0000173557,0.0063983328,0.0044299741,0,0.0001708584,0.016807399,0.0054642871
1,2015-12-20,489802.88,0.4734968725,0.0000233129,0.0066102453,0.0045784249,0,0.0002159656,0.0188773681,0.0023094697
